ticker,ts,mid
XLU,34:03.6,82.2938
XLK,33:29.3,126.5235
XLV,32:46.6,135.6686
XLE,30:18.2,112.2873
XLC,33:32.1,74.0355
XLRE,33:30.7,113.6886
XLV,33:44.3,143.5434
XLU,31:20.1,111.8109
XLB,31:11.7,145.272
XLI,33:11.1,95.21
XLU,34:55.4,89.9594
XLK,33:55.5,118.9506
XLP,30:10.1,90.7674
XLE,34:59.6,227.8163
XLK,35:12.5,138.7356
XLE,31:55.1,151.4435
XLY,33:01.3,167.9674
XLRE,33:14.6,99.2396
XLV,31:21.2,75.5746
XLRE,32:22.8,80.5598
XLI,32:01.5,81.8511
XLE,31:24.7,119.5114
XLC,34:49.8,75.9116
XLB,34:22.5,162.8168
XLE,31:05.4,115.1217
XLY,34:48.0,144.9785
XLB,31:38.7,139.1924
XLK,32:18.3,133.293
XLY,30:52.1,105.6215
XLI,35:49.6,227.5685
XLE,30:38.8,113.0504
XLE,31:41.8,141.4192
XLK,31:56.9,119.6067
XLI,31:11.0,89.8037
XLC,30:17.1,80.6242
XLK,30:34.3,96.4812
XLP,31:10.3,56.4995
XLV,31:02.6,67.94
XLV,34:54.7,184.2172
XLRE,30:33.6,90.4359
XLU,34:48.4,100.1441
XLC,32:13.7,65.9931
XLK,35:08.7,138.4141
XLRE,30:55.6,80.0399
XLP,33:02.3,46.6836
XLC,33:27.5,76.73
XLC,30:11.9,89.1353
XLY,33:09.7,159.874
XLRE,34:17.2,114.255
XLV,34:00.1,158.4192
XLC,2/12/2026 9:30,89.3266
XLP,30:42.7,69.2111
XLC,35:34.2,58.2532
XLK,30:15.4,92.9377
XLF,30:21.7,86.3022
XLC,34:37.9,79.1556
XLP,30:55.3,64.6893
XLV,32:46.9,137.1252
XLP,33:48.2,52.0296
XLK,32:15.4,120.5006
XLI,34:36.5,189.3836
XLY,35:16.0,165.2284
XLF,32:00.8,94.1368
XLRE,35:39.5,101.3367
XLY,35:22.3,195.2683
XLE,32:31.9,199.568
XLE,31:54.8,155.0033
XLV,33:06.5,142.5862
XLE,34:14.4,224.8855
XLI,31:51.3,75.6493
XLU,32:03.9,109.3045
XLU,30:24.1,109.4269
XLI,32:28.4,84.2822
XLU,30:17.5,109.7978
XLP,33:41.5,51.2085
XLF,35:44.7,176.8237
XLV,30:27.3,92.5501
XLE,31:26.4,125.2938
XLB,33:56.9,161.6325
XLRE,30:35.3,98.0108
XLI,31:13.8,86.4239
XLRE,30:16.4,91.8076
XLF,30:59.1,90.1675
XLK,33:26.5,130.3222
XLY,33:19.5,143.4673
XLK,33:09.3,114.9404
XLF,2/12/2026 9:30,96.0443
XLI,30:33.3,96.3308
XLB,34:53.6,139.1898
XLU,33:12.2,84.4463
XLI,31:11.4,89.3617
XLRE,31:47.1,80.6474
XLP,30:04.2,95.8463
XLV,32:23.8,123.2987
XLU,32:49.7,93.3091
XLF,32:37.1,116.0372
XLE,33:32.4,199.8571
XLI,33:06.5,105.3364
XLY,32:43.8,160.3421
XLI,31:57.6,78.9739
XLC,35:46.1,55.9374
XLV,32:00.8,97.8827
XLK,33:46.8,119.0918
XLC,35:23.7,55.6103
XLP,32:24.9,44.6609
XLP,31:04.7,57.0829
XLY,33:12.5,152.4904
XLC,32:06.7,71.0914
XLY,34:01.1,130.5039
XLF,35:37.0,168.3882
XLU,32:09.1,110.9593
XLI,31:37.3,85.3236
XLB,32:49.7,161.794
XLU,33:02.3,98.199
XLI,35:23.0,185.2793
XLK,30:00.7,95.9112
XLY,34:37.9,152.7627
XLV,31:31.7,76.2797
XLK,33:14.2,105.7732
XLE,33:21.6,191.6225
XLC,30:07.3,90.7667
XLB,33:35.2,150.7151
XLB,35:05.9,144.6763
XLY,33:26.8,156.2899
XLI,31:20.1,85.6965
XLF,34:05.3,150.8411
XLC,34:19.7,67.4731
XLK,33:08.3,118.939
XLF,33:03.4,126.4696
XLK,34:58.9,128.7634
XLU,2/12/2026 9:33,83.1208
XLB,31:50.6,151.2245
XLF,33:59.4,169.7876
XLV,31:42.5,88.9239
XLK,34:32.3,132.1737
XLC,33:11.5,86.4622
XLRE,33:00.2,93.1144
XLE,33:24.4,196.7716
XLK,32:56.4,130.9047
XLK,34:05.7,137.6193
XLE,33:07.2,183.2897
XLRE,33:55.5,115.5812
XLU,34:19.3,94.7683
XLE,34:02.9,217.1189
XLB,31:59.7,147.978
XLU,32:10.9,104.2721
XLB,30:15.8,109.7288
XLV,35:13.9,201.2724
XLC,33:47.2,65.3591
XLY,33:54.5,131.2438
XLRE,31:29.2,81.7492
XLU,30:02.4,100.0382
XLV,32:01.5,96.8872
XLU,32:57.4,92.5436
XLRE,30:11.5,87.3347
XLV,32:04.9,106.3595
XLC,30:59.8,80.042
XLF,31:05.1,87.9213
XLB,32:03.5,146.1665
XLP,32:39.2,45.542
XLE,31:39.0,145.4205
XLV,34:37.5,138.5429
XLU,30:43.4,118.2669
XLP,32:02.1,52.3446
XLK,30:26.2,90.3987
XLK,32:27.3,117.9447
XLU,30:58.8,99.5827
XLB,34:07.8,179.8951
XLF,35:26.5,187.1012
XLI,32:42.0,104.698
XLF,30:48.6,96.2591
XLK,30:12.2,93.4364
XLC,30:38.8,77.2774
XLP,34:18.6,57.2431
XLB,31:49.5,149.3149
XLY,35:20.9,193.6301
XLB,32:27.3,161.4294
XLB,34:20.7,155.9894
XLB,35:40.9,151.7283
XLRE,34:23.5,115.1618
XLB,33:44.7,153.524
XLP,33:14.9,43.161
XLK,35:31.1,124.1036
XLE,31:13.8,108.8993
XLC,33:10.0,86.916
XLV,33:35.2,152.3737
XLI,31:03.7,96.4782
XLI,35:02.0,170.9632
XLRE,33:07.6,84.0364
XLB,33:17.7,168.3834
XLC,31:46.0,66.3099
XLC,35:31.8,57.0514
XLV,30:35.3,86.2201
XLB,30:44.8,108.751
XLC,30:39.5,78.7618
XLI,31:04.0,97.1914
XLC,30:55.6,76.2416
XLU,34:45.2,103.3328
XLU,34:08.8,84.3927
XLV,34:28.4,165.5952
XLK,35:06.6,140.4657
XLRE,30:35.7,96.3237
XLU,35:20.9,89.187
XLI,30:21.7,110.0365
XLU,32:51.5,93.6041
XLC,32:03.2,67.7357
XLF,30:02.8,94.4437
XLF,33:49.2,137.1748
XLC,35:28.6,62.1828
XLF,32:06.7,95.9911
XLRE,32:25.9,82.926
XLU,35:11.8,88.4082
XLB,35:42.3,154.7657
XLF,33:41.5,147.6594
XLK,30:53.2,103.2922
XLY,30:27.6,86.4044
XLV,34:34.7,143.3429
XLE,34:00.1,229.2522
XLE,33:58.3,222.2517
XLE,32:48.3,207.9071
XLK,34:31.9,129.6835
XLP,33:03.0,47.8792
XLY,34:59.2,153.0103
XLB,31:57.2,150.3127
XLP,33:25.4,42.4139
XLE,34:50.1,244.0519
XLB,31:29.9,145.3831
XLV,33:48.5,145.9127
XLK,33:17.7,110.4223
XLV,32:17.5,108.7217
XLF,34:12.7,145.0386
XLI,32:44.1,105.6195
XLC,30:45.1,73.4287
XLF,31:31.3,91.2661
XLK,30:20.3,86.1344
XLU,35:24.4,89.0842
XLK,2/12/2026 9:30,102.0742
XLE,30:41.6,114.5749
XLRE,30:33.3,88.6813
XLC,31:21.2,68.5796
XLP,33:35.6,44.3397
XLV,32:23.5,120.5358
XLF,32:28.7,110.3453
XLY,32:40.3,169.0262
XLC,34:47.3,76.2928
XLU,30:08.0,107.4597
XLRE,32:29.1,88.0186
XLC,31:53.0,65.2801
XLRE,33:31.4,116.7051
XLI,30:22.4,107.7913
XLY,34:05.7,134.7568
XLV,31:57.9,93.3707
XLI,31:53.0,74.9138
XLE,32:50.8,188.9526
XLV,30:10.1,97.1762
XLI,2/12/2026 9:33,107.7714
XLC,31:41.1,67.6147
XLF,31:00.5,90.8156
XLP,31:19.1,51.3365
XLE,32:38.9,188.0543
XLK,31:43.6,115.1361
XLRE,34:56.8,117.7218
XLI,30:12.2,108.5501
XLC,34:22.8,75.4451
XLP,34:19.7,56.5865
XLP,33:11.1,45.1023
XLF,34:52.6,183.0582
XLC,33:55.2,51.0889
XLF,30:53.5,88.4337
XLRE,32:28.0,87.3823
XLU,30:41.3,116.8635
XLK,30:59.1,103.255
XLRE,32:01.8,83.4151
XLU,34:01.5,79.0543
XLV,30:45.1,80.5349
XLI,34:24.9,189.8518
XLC,33:37.7,71.0128
XLK,30:39.2,90.8469
XLV,30:31.8,89.2392
XLB,34:08.1,182.3441
XLU,32:40.6,91.452
XLP,30:44.1,66.6978
XLB,34:28.1,170.9061
XLP,33:05.5,50.9293
XLV,32:30.8,134.1662
XLF,30:14.7,93.1183
XLRE,34:03.2,106.892
XLP,30:25.9,80.1997
XLY,31:57.6,127.72
XLE,34:29.8,223.0002
XLV,2/12/2026 9:35,197.1032
XLV,32:28.4,129.2086
XLK,2/12/2026 9:30,94.977
XLU,31:23.3,112.4904
XLK,30:10.1,100.2528
XLU,34:37.9,104.5158
XLV,34:14.8,156.8815
XLB,33:49.2,148.8036
XLK,31:13.5,112.5443
XLB,34:53.3,138.658
XLI,31:50.9,76.3271
XLP,31:23.3,55.3289
XLF,32:47.6,117.7119
XLRE,32:31.5,92.6904
XLE,32:37.1,188.573
XLV,30:43.0,84.6781
XLV,2/12/2026 9:30,65.8637
XLI,33:56.6,148.5015
XLY,30:47.2,103.1668
XLY,30:28.3,88.538
XLY,31:55.8,126.6755
XLU,32:44.5,97.3047
XLP,34:04.7,60.7709
XLB,34:44.9,125.3064
XLC,32:52.5,69.8767
XLY,30:13.3,88.6096
XLC,34:10.6,64.4705
XLB,34:19.3,163.2615
XLB,30:46.2,114.1228
XLE,31:23.6,115.1647
XLI,31:31.7,85.4521
XLRE,33:18.4,115.9694
XLY,30:50.1,102.4249
XLF,34:42.8,159.2795
XLE,32:53.2,178.8146
XLB,32:01.8,143.21
XLB,33:04.4,174.4183
XLF,32:17.9,96.7565
XLB,30:17.8,104.5445
XLY,32:03.5,109.5167
XLY,32:03.2,111.2489
XLU,32:57.1,91.8717
XLF,32:39.6,113.9805
XLRE,32:50.8,86.728
XLF,32:43.1,116.9833
XLP,2/12/2026 9:32,47.9348
XLV,31:54.8,92.0475
XLY,30:17.5,86.6379
XLC,30:48.6,77.873
XLY,30:11.5,90.0563
XLY,34:39.7,147.2863
XLF,34:57.9,191.1168
XLF,34:42.1,151.3379
XLK,31:01.9,98.903
XLY,2/12/2026 9:34,133.4918
XLC,30:01.0,95.9745
XLY,30:57.0,101.5431
XLY,32:35.4,162.3801
XLI,33:00.9,111.2686
XLP,2/12/2026 9:34,58.8452
XLE,32:21.0,192.0528
XLY,34:24.6,133.5381
XLC,33:49.6,59.4862
XLI,33:10.7,95.4326
XLV,32:03.2,102.6069
XLU,35:02.4,86.2722
XLC,34:16.2,64.7962
XLE,2/12/2026 9:31,129.9005
XLY,35:04.5,151.3388
XLE,31:47.4,141.6269
XLE,33:13.2,207.6551
XLF,33:33.5,150.0594
XLP,30:08.4,93.0693
XLU,33:50.3,77.9365
XLY,32:25.9,150.1701
XLC,34:40.7,81.2737
XLK,31:35.2,118.4208
XLY,30:53.9,107.0792
XLF,35:36.3,171.6711
XLK,32:55.3,125.7585
XLC,32:29.4,76.466
XLC,32:24.5,75.4228
XLK,32:50.8,125.7999
XLF,32:22.8,110.9476
XLRE,34:07.1,104.4289
XLB,34:16.9,164.628
XLRE,32:03.5,82.975
XLRE,34:08.1,108.8331
XLU,31:19.4,108.3003
XLK,31:07.5,102.6881
XLC,31:08.3,85.4488
XLI,33:30.7,111.6004
XLU,34:55.0,89.2749
XLC,30:06.3,89.3503
XLK,32:09.8,134.198
XLE,32:45.9,188.1908
XLRE,32:02.1,84.1537
XLRE,30:45.8,84.4811
XLY,34:34.7,148.5784
XLY,30:57.4,101.099
XLRE,33:33.1,120.1421
XLY,35:46.8,286.6874
XLRE,32:25.6,84.3629
XLI,30:28.7,103.3601
XLE,34:36.5,222.3876
XLE,34:24.9,214.6297
XLV,2/12/2026 9:35,207.3254
XLE,31:01.2,115.0514
XLF,32:12.3,90.0252
XLK,32:59.9,128.3432
XLRE,34:22.8,112.8335
XLF,2/12/2026 9:34,150.0389
XLRE,31:44.0,74.784
XLRE,32:06.7,80.7408
XLP,31:31.7,46.9359
XLF,32:37.8,114.5665
XLI,33:47.8,136.3701
XLI,31:49.2,79.9456
XLV,34:53.3,178.1226
XLY,30:15.1,84.5027
XLU,30:56.7,101.899
XLV,30:05.9,103.286
XLY,33:31.4,144.5962
XLU,33:44.7,75.5545
XLY,32:05.6,120.1818
XLB,31:30.6,142.3114
XLV,32:30.1,133.2339
XLP,31:33.4,46.2082
XLI,35:00.3,169.1018
XLF,32:42.7,116.2592
XLY,34:02.2,130.3632
XLRE,30:59.5,83.1908
XLU,31:14.9,107.4146
XLU,31:42.9,124.383
XLF,33:35.2,154.6768
XLF,32:33.6,113.0114
XLRE,33:26.1,117.1288
XLU,31:19.1,108.2018
XLC,30:33.9,89.4258
XLV,31:33.4,79.987
XLV,34:10.6,143.6455
XLC,34:11.3,64.4136
XLV,2/12/2026 9:30,91.2262
XLF,31:20.1,93.6008
XLC,31:04.7,81.7365
XLRE,31:11.7,81.5618
XLY,31:44.3,122.2835
XLY,31:08.6,91.9029
XLK,33:39.1,117.4672
XLV,32:32.9,132.6632
XLV,31:13.5,72.5603
XLF,34:10.6,145.758
XLRE,30:03.5,94.1429
XLP,32:13.3,45.9577
XLU,32:45.9,95.3454
XLP,30:20.3,78.3273
XLF,33:05.8,130.6619
XLF,30:43.0,93.2693
XLY,34:04.0,132.7303
XLY,34:14.1,133.0385
XLP,35:03.8,68.2113
XLC,32:21.0,65.7162
XLK,31:23.6,116.6999
XLE,33:04.8,178.8217
XLU,35:46.5,78.015
XLU,33:25.1,82.1483
XLP,33:58.7,62.3493
XLE,33:03.0,174.1272
XLC,30:32.6,88.5444
XLC,2/12/2026 9:30,78.9811
XLK,31:36.6,117.2242
XLB,35:32.5,151.5544
XLK,30:34.6,98.7114
XLF,32:23.1,114.5911
XLC,32:04.6,67.3797
XLC,30:17.8,85.4023
XLV,31:49.2,89.4706
XLU,34:13.4,89.6166
XLRE,30:36.0,96.3289
XLC,2/12/2026 9:35,53.9327
XLU,35:00.6,85.9907
XLRE,33:25.1,114.1725
XLC,33:52.0,54.9417
XLK,34:50.5,143.3063
XLC,34:00.1,53.404
XLU,35:11.1,86.4158
XLY,32:13.3,128.2973
XLC,32:46.2,70.3163
XLY,34:23.5,131.1558
XLP,30:33.3,67.8575
XLK,32:04.6,129.2183
XLRE,32:42.0,95.1564
XLP,33:09.7,47.8282
XLRE,30:07.3,92.3914
XLV,31:17.7,75.7659
XLE,33:41.2,207.7967
XLK,34:15.1,124.1491
XLK,35:07.6,141.712
XLB,34:51.2,133.5133
XLRE,31:07.5,85.7886
XLP,32:40.6,47.2797
XLY,32:36.8,159.6325
XLC,2/12/2026 9:33,80.763
XLF,30:42.3,91.7067
XLF,32:10.9,90.7111
XLK,32:12.3,127.5211
XLK,31:20.1,117.1293
XLV,35:17.4,200.4327
XLU,35:17.4,93.3936
XLK,2/12/2026 9:34,133.3556
XLE,35:30.4,287.0941
XLV,34:35.1,139.7066
XLI,2/12/2026 9:35,184.1035
XLRE,33:52.4,121.6196
XLRE,34:12.3,110.1728
XLY,33:21.2,141.1209
XLU,32:31.2,97.5328
XLK,31:34.1,120.5574
XLU,30:36.7,105.1951
XLK,2/12/2026 9:30,89.2511
XLV,31:29.2,74.8099
XLI,31:04.7,96.0227
XLF,30:30.4,92.8979
XLV,33:50.6,137.0619
XLP,35:28.3,69.2328
XLP,34:21.8,56.0754
XLRE,31:19.4,76.6388
XLU,32:04.9,110.2799
XLI,34:25.6,192.7988
XLY,31:16.3,91.1343
XLB,33:13.5,168.7477
XLRE,34:37.9,113.816
XLP,34:38.6,50.5959
XLE,35:13.9,247.1823
XLU,34:31.6,105.1452
XLP,32:37.8,46.2101
XLI,31:44.0,84.4045
XLK,34:10.9,134.7663
XLV,31:55.8,92.3307
XLF,32:14.7,89.2926
XLK,35:35.3,135.4777
XLE,30:37.1,114.3436
XLV,32:34.7,131.0738
XLE,35:47.5,245.5274
XLRE,31:44.3,75.4778
XLB,31:11.4,141.8776
XLP,35:20.6,64.7261
XLV,31:03.3,71.234
XLV,2/12/2026 9:30,100.6959
XLV,31:45.7,90.9189
XLI,30:24.1,101.8049
XLY,31:56.2,127.8017
XLE,35:04.1,246.4715
XLC,35:27.6,60.5594
XLK,32:18.6,137.3834
XLP,33:59.0,61.5363
XLU,2/12/2026 9:34,101.592
XLI,31:03.3,98.6884
XLE,34:37.9,226.3374
XLV,2/12/2026 9:34,144.4279
XLI,34:46.3,178.5273
XLY,34:43.1,137.8367
XLB,31:13.1,139.1169
XLK,35:33.9,127.9819
XLI,32:51.1,110.1094
XLF,32:45.5,114.6637
XLC,30:10.1,91.5069
XLV,31:57.6,92.454
XLC,30:29.7,82.8763
XLK,30:47.6,93.4158
XLRE,31:36.9,76.3936
XLP,35:01.3,64.779
XLI,31:35.5,85.8705
XLB,34:30.5,171.4407
XLRE,30:04.5,91.5818
XLE,33:34.2,197.2881
XLU,30:14.7,106.9319
XLP,2/12/2026 9:33,47.4991
XLB,32:14.7,152.5198
XLB,32:22.4,159.6313
XLP,30:18.5,82.0345
XLY,30:22.7,83.8071
XLB,2/12/2026 9:33,156.1592
XLC,33:17.4,83.4567
XLRE,30:44.1,86.2423
